Asset,P95,P99,Max,Time > 300,Avg Ret (>300),Avg Ret (100-300)
港股科技,475.80967302476154,3739.3176574961344,5603.168152983767,7.5%,0.0008331523735970681,-0.015425796666649037
科创板,632.928921775359,3423.2384804781227,4129.068658688524,11.4%,0.03633608971581222,0.008378812310122661
创业板,388.8131512208822,2488.9574958894673,12429.573155777418,6.8%,0.015216572780644103,0.037988757681163686
纳指100,190.3140116941699,616.1479544573191,2863.745314455429,2.1%,-0.0348829376781755,0.0027963142596958627
上证180,130.84355757959253,579.517982168983,1100.5796941442045,1.8%,0.01321725601743395,-0.004169870733667167
南方原油,238.76764910814836,530.7007897634645,4008.1647135452104,3.5%,-0.007596008741410878,0.008781917450433841
日经ETF,171.495347708321,356.0051401683827,630.1838652627177,1.7%,-0.03542452104654541,0.012343657028029854
黄金ETF,134.5761266632638,272.99872218102155,784.7488396832267,0.9%,-0.021002152130352666,0.017987998480123498
30年国债,64.81695860512433,81.64337545201792,105.60765965426499,0.0%,,0.01925719716727592
