a51_window,a51_threshold,ann_ret,sharpe,max_dd,calmar,trades
5,0.01,0.358487433095356,1.317464720586913,-0.2762137917754409,1.2978621769430063,953
5,0.03,0.4904495148097634,1.7777577318554234,-0.18783800876002787,2.6110238180619576,679
5,0.05,0.5043902156946318,1.8064109170985418,-0.191368175814423,2.6357058249003646,619
5,0.07,0.5400186667492748,1.931119173562129,-0.19282141693111077,2.800615592106177,567
5,0.1,0.5603804620693107,2.0068059939339893,-0.18145641956513858,3.0882371834089195,557
10,0.01,0.605352225658383,2.2329183517034235,-0.19898140100992256,3.0422553192707493,620
10,0.03,0.5761740111579479,2.0726948354217094,-0.1909272872563128,3.0177667081419095,568
10,0.05,0.5726026027157285,2.040001388736115,-0.17597789969233235,3.2538324625809687,555
10,0.07,0.5765503475314686,2.05383657773791,-0.17597789969233235,3.276265647785714,545
10,0.1,0.5577002152520161,1.9898285026410298,-0.17597789969233235,3.169149172862392,549
15,0.01,0.5488177465644717,1.9968568778332874,-0.17597789969233235,3.118674262643132,605
15,0.03,0.5663965694180195,2.022832186347088,-0.17597789969233246,3.21856648140629,563
15,0.05,0.5650755693475389,2.0177875526223645,-0.17597789969233235,3.211059856581299,559
15,0.07,0.5669745983195058,2.0250550222467933,-0.17597789969233235,3.2218511489838506,555
15,0.1,0.5613948740647718,2.0086603190961627,-0.17597789969233235,3.1901441888230058,555
