window,cutoff,buffer,ann_ret,sharpe,max_dd,calmar,trades
15,300,5,0.16021795691465046,0.6444768560391863,-0.35919781161551484,0.4460438001948288,971
15,300,8,0.15676797276265209,0.6296383614435037,-0.3693337615733984,0.42446152795456604,961
15,300,10,0.157084872821033,0.6316347140201226,-0.36272747183088294,0.43306582770844504,951
15,300,15,0.16230617039937978,0.6544474238204493,-0.3341159347537592,0.48577799954078255,935
15,400,5,0.11908696628780113,0.4436813330130171,-0.352469304733508,0.3378647862055375,855
15,400,8,0.1222441409553281,0.45747302942416423,-0.3565810186608143,0.3428229057576638,841
15,400,10,0.12845085158937986,0.48527291724629046,-0.3433025853482912,0.3741622028830993,831
15,400,15,0.14355352588802028,0.5495248637505091,-0.3326350382381603,0.43156465611189976,811
15,500,5,0.13950708897859365,0.5236176530129962,-0.34628058223229663,0.4028729768191496,821
15,500,8,0.14399352735140147,0.5429317311876061,-0.3504315935345165,0.41090338316547514,809
15,500,10,0.1470578380559302,0.5563888095233537,-0.35043159353451636,0.4196477736858092,803
15,500,15,0.16499811051015634,0.6318547742965983,-0.34592828660642577,0.4769720109586766,785
15,600,5,0.14723805373629362,0.5467516482295861,-0.34486022918421794,0.42694993877546195,753
15,600,8,0.15287260825635451,0.5706541162493585,-0.344860229184218,0.4432886001902318,741
15,600,10,0.15596070254183148,0.5839575087214416,-0.34486022918421816,0.45224322593174426,735
15,600,15,0.17404021803089176,0.6585138355717852,-0.3531224628653664,0.4928607957099783,717
15,700,5,0.1703180783364715,0.6206681747507525,-0.371875947150976,0.45799702734558667,741
15,700,8,0.17521716119013586,0.6405598721809868,-0.3718759471509762,0.47117099810437657,729
15,700,10,0.17836510778343362,0.6535959226744401,-0.37187594715097627,0.4796360430136127,723
15,700,15,0.2004153294217932,0.7426741625884951,-0.3661778966089595,0.547316840469528,701
15,800,5,0.19727126769747616,0.7068569584665868,-0.36977533265176515,0.5334895280406814,735
15,800,8,0.20228317962752174,0.7264906030390728,-0.36977533265176404,0.5470434660335278,723
15,800,10,0.20550362548593126,0.7393764485499611,-0.369775332651765,0.5557526620615978,717
15,800,15,0.2279699022225008,0.8269135602589368,-0.364058226307743,0.626190773202842,689
15,1000,5,0.17270344110605684,0.6167516865768925,-0.3826736059628915,0.4513074286152993,691
15,1000,8,0.1807423617461239,0.6493137475649325,-0.38267360596289135,0.4723146800034358,675
15,1000,10,0.18390510818819994,0.6621338997136117,-0.38267360596289174,0.48057954696262334,669
15,1000,15,0.20622670869330473,0.7504918644772306,-0.37707350678154433,0.546913811191676,645
20,300,5,0.5173390354522713,1.9621284276848143,-0.18821660992408998,2.7486364548852538,703
20,300,8,0.500302819728486,1.896023299169183,-0.20869170829071604,2.3973296487254006,701
20,300,10,0.48858713010251664,1.853100879255859,-0.20869170829071618,2.3411909083704208,691
20,300,15,0.49530691752601785,1.8868082518635265,-0.20738722921253241,2.3883192779359743,681
20,400,5,0.4785406655558968,1.7343747918572185,-0.18642355691609355,2.56695384141437,629
20,400,8,0.4521113168956994,1.6339633245874536,-0.1863773154287093,2.425785111539689,627
20,400,10,0.4445249684944037,1.608597664921172,-0.19453652060361162,2.285046361038653,621
20,400,15,0.43244677701155343,1.5604615096216001,-0.23281959689544948,1.8574328912945803,613
20,500,5,0.513693890668256,1.8609620149915649,-0.19832516441305192,2.5901599133349786,587
20,500,8,0.49176906128780873,1.7785648457234065,-0.19832516441305212,2.4796100018029006,587
20,500,10,0.4816147754919764,1.7441748965793584,-0.1983251644130522,2.428409813335217,581
20,500,15,0.4690840571705359,1.6940974003011295,-0.22208494170419532,2.112183084413393,573
20,600,5,0.5596896645446525,1.999476845380377,-0.17597789969233235,3.180454281606812,553
20,600,8,0.5370986175751145,1.9159862781361383,-0.19174049348272665,2.801174690955409,553
20,600,10,0.5266357791477221,1.8812488394072282,-0.19174049348272684,2.746606987298511,547
20,600,15,0.5163522695397158,1.841828275238721,-0.19718450931333803,2.618624918041615,537
20,700,5,0.499331197416804,1.7785713594671395,-0.1804229045328461,2.7675599099220825,533
20,700,8,0.47761440190695814,1.6982321199506019,-0.21636607352772527,2.207436656402402,533
20,700,10,0.46755646511073046,1.6645108867470706,-0.21636607352772438,2.1609509175236727,527
20,700,15,0.4551446445826819,1.6158328280046967,-0.2150742457120064,2.116221042998054,519
20,800,5,0.5192811214720927,1.8567142590840318,-0.19785985063498032,2.624489606181312,531
20,800,8,0.49727536484285406,1.7751131184030022,-0.2330383092640263,2.1338781868669243,531
20,800,10,0.4870835983260262,1.7409843615983012,-0.2330383092640264,2.090143890351406,525
20,800,15,0.47450662757810047,1.6914478326742188,-0.2317739657839732,2.047281824656563,517
20,1000,5,0.5255609433982464,1.775667225532727,-0.19785985063498027,2.6562283440101355,517
20,1000,8,0.5034642278075441,1.6982463973128563,-0.23303830926402522,2.160435464012634,517
20,1000,10,0.4956226518526454,1.674317281291825,-0.23303830926402488,2.1267861641199985,507
20,1000,15,0.4829734622822268,1.6275007641575707,-0.2317739657839729,2.0838123930294516,499
25,300,5,0.4695282030421586,1.6318365564401012,-0.1934224982464605,2.4274746076533558,521
25,300,8,0.4846253336532531,1.684907618679279,-0.19342249824646054,2.5055272165688787,501
25,300,10,0.4768701346986419,1.6612170780451834,-0.19342249824646068,2.4654326100731554,501
25,300,15,0.5175602503309764,1.8131365410119662,-0.19342249824646054,2.6758017036440966,483
25,400,5,0.4980490406072491,1.6139720742383081,-0.19342249824646054,2.574928176000658,455
25,400,8,0.5163678841261563,1.6770619231244996,-0.19342249824646077,2.669637135325362,443
25,400,10,0.5148052363873452,1.6752377367363067,-0.19342249824646038,2.661558200594517,443
25,400,15,0.5547533052487881,1.8160495756953572,-0.19342249824646085,2.868090890553569,429
25,500,5,0.4477804008135051,1.5425482624703932,-0.20593198657632739,2.174409173912078,439
25,500,8,0.4608734652423312,1.5902358901330413,-0.20593198657632736,2.2379887306701205,427
25,500,10,0.46585392613236465,1.6079025660222113,-0.20593198657632755,2.262173710249226,427
25,500,15,0.49800726770379256,1.7309788760916076,-0.2059319865763273,2.418309442759683,413
25,600,5,0.41541149297956115,1.4136714498567138,-0.20764100305442917,2.0006236093488186,429
25,600,8,0.42821182779585487,1.4598477939657322,-0.20764100305442873,2.062270079111533,417
25,600,10,0.4330809374896514,1.4769856176142884,-0.2076410030544289,2.0857197331883817,417
25,600,15,0.46451540722851825,1.5957915531737636,-0.20764100305442898,2.2371082801346067,403
25,700,5,0.37600061499369297,1.2307968188070824,-0.20764100305442895,1.810820644586907,417
25,700,8,0.38825148933566456,1.273450177108398,-0.20764100305442915,1.8698209102461896,407
25,700,10,0.3929843648465643,1.2895864942717834,-0.2076410030544289,1.8926144598884997,407
25,700,15,0.4228083507699001,1.3980635024368908,-0.20764100305442884,2.036246909571466,393
25,800,5,0.38375531938928775,1.2899454951275715,-0.20504701615120152,1.8715479337007608,405
25,800,8,0.3960752357855106,1.3339655332151417,-0.20504701615120177,1.931631306906922,395
25,800,10,0.400834784286326,1.3505949516841043,-0.2050470161512016,1.9548432930657746,395
25,800,15,0.43082684876443356,1.4628673253936157,-0.20430955203197135,2.1086965561796918,381
25,1000,5,0.39760922540113164,1.3525710387419208,-0.1999740052054682,1.9883045548475076,409
25,1000,8,0.40930641890601804,1.3947765406399737,-0.19997400520546815,2.0467981250136296,399
25,1000,10,0.4141110756188915,1.411722744347309,-0.19997400520546788,2.0708245313854845,399
25,1000,15,0.4445882399193315,1.5275066940259485,-0.19997400520546788,2.223230161652906,383
30,300,5,0.4645974952168834,1.6489955437147912,-0.18423306058628103,2.5217922002620186,463
30,300,8,0.4524090931051974,1.6001783840172152,-0.18813008208622822,2.404767425221441,441
30,300,10,0.4643417797125786,1.6375061698473363,-0.18813008208622833,2.468195275116875,437
30,300,15,0.44285109272673395,1.566259468228232,-0.19299683665548273,2.2946028567155445,431
30,400,5,0.47867661061939404,1.6969314646800917,-0.21801748123386158,2.1955882065527135,429
30,400,8,0.4611957171111718,1.6298836603542102,-0.21801748123386186,2.1154070513109855,417
30,400,10,0.473200592767147,1.6673066809893407,-0.21801748123386183,2.1704708727441755,413
30,400,15,0.46248829537165204,1.6326809626960819,-0.2180174812338622,2.121335833962561,407
30,500,5,0.44047373126681433,1.5375692180164022,-0.21801748123386183,2.020359692140142,411
30,500,8,0.42262488495215145,1.4701760030859767,-0.21801748123386203,1.9384908153250888,397
30,500,10,0.4343128707907016,1.5067204200083812,-0.21801748123386194,1.99210113029801,393
30,500,15,0.39591413499808725,1.3449352042242537,-0.21801748123386244,1.815974263886661,387
30,600,5,0.47077681151750994,1.6254283276054953,-0.21801748123386225,2.159353501623655,405
30,600,8,0.45536809807435596,1.5681005425533143,-0.21801748123386214,2.0886769973545998,393
30,600,10,0.4673250952421253,1.6048279059490433,-0.21801748123386197,2.1435212103053205,389
30,600,15,0.45742665482416456,1.5737967407743734,-0.2180174812338618,2.0981191610662386,383
30,700,5,0.4663595566941132,1.6005957078169994,-0.218017481233862,2.139092489532345,397
30,700,8,0.45099712098205025,1.5437901962372498,-0.21801748123386186,2.068628251411991,385
30,700,10,0.46291820712443577,1.580314710443961,-0.21801748123386183,2.1233077480969293,381
30,700,15,0.46492016734992925,1.5913622968914642,-0.2180174812338619,2.1324903155413533,375
30,800,5,0.4680873673303323,1.597130912867599,-0.21801748123386203,2.147017590888624,397
30,800,8,0.45154449594461354,1.5359976522047163,-0.218017481233862,2.071138944405347,383
30,800,10,0.46347007920417904,1.5723775389834311,-0.21801748123386183,2.1258390684140895,379
30,800,15,0.46547279465026414,1.5833148735418228,-0.2180174812338616,2.1350250998953784,373
30,1000,5,0.48349760990985025,1.6442123754757973,-0.21801748123386203,2.2177011089822387,391
30,1000,8,0.4665771527949718,1.582011994549793,-0.21801748123386197,2.1400905567498323,379
30,1000,10,0.4786262411908815,1.6185178305208656,-0.218017481233862,2.195357172654751,375
30,1000,15,0.48064969739562313,1.629571512905897,-0.21801748123386175,2.2046383376021237,369
