window,cutoff,buffer,crash_filter,match_rate,return,sharpe,sortino,max_dd,calmar,trade_count,win_rate,pl_ratio,equity_r2
25,300,5,False,0.8624517374517374,39.50525851780116,1.91135050631681,2.8904494410136676,-0.21981185683311258,2.4633771136797837,495,0.5546558704453441,2.171956940319918,0.9852082217189964
25,300,8,False,0.8508687258687259,37.78157098691976,1.886230377008428,2.8490474703145625,-0.21981185683311263,2.4278140648976496,485,0.5578512396694215,2.125369972450214,0.9824443641969917
25,300,10,False,0.8426640926640927,33.450074186123935,1.811921978712235,2.7375421231882826,-0.21981185683311252,2.331871396985365,481,0.5583333333333333,2.0483800179044103,0.9819550254196201
20,700,5,True,0.7162162162162162,32.09478908639736,1.8774253223237638,2.8937019151005794,-0.1824344656062777,2.770814966910396,561,0.5285714285714286,2.47280325721595,0.9602244616401822
20,700,8,False,0.7606177606177607,32.03214557449153,1.8049448555219105,2.801604144600236,-0.22414038270362244,2.2537603501353463,507,0.49407114624505927,2.6247060142791674,0.9535075522716121
20,700,5,False,0.7519305019305019,31.355140002261194,1.793445000361275,2.786371135843917,-0.22563733949405282,2.2226775329554607,523,0.5019157088122606,2.5608433802059585,0.9489907996243099
20,700,8,True,0.7239382239382239,30.44913095151061,1.8453165731102437,2.841136672888022,-0.1939964133902393,2.5595397802277997,547,0.5201465201465202,2.485276241448738,0.9643929836661457
25,300,10,True,0.8064671814671814,30.204210919043184,1.8018180210328074,2.7227702588566634,-0.18561870631202665,2.667695789502835,499,0.5261044176706827,2.24209470687085,0.9748804458535177
25,300,5,True,0.8223938223938224,29.87729533261503,1.7929020628426926,2.684031267466242,-0.1856187063120267,2.657783589094137,517,0.5232558139534884,2.317135677806128,0.9799334649207349
25,300,8,True,0.8127413127413128,29.85633248835591,1.7956025225426193,2.686363508981754,-0.1856187063120267,2.657144830937159,507,0.525691699604743,2.28204311282177,0.9720448114245842
20,300,5,True,0.6269305019305019,29.816160046710085,1.9852043409968876,3.2774697231777137,-0.18552235916057777,2.65729896239421,723,0.5457063711911357,2.0496775500888984,0.9808152856317303
20,700,10,False,0.763030888030888,28.998986698288025,1.7463650242666777,2.7098519443904907,-0.23872311283873793,2.045485357440613,503,0.49800796812749004,2.5150642813897357,0.9521962459200162
20,300,8,False,0.6621621621621622,28.933218711475636,1.843507990539275,2.9980440671868087,-0.20870405131332512,2.337869291459665,677,0.5207100591715976,2.080456878814938,0.9705524275267974
20,300,10,False,0.6645752895752896,28.2031284520924,1.833165819886029,2.992611082928063,-0.20718364292726418,2.334322693787135,661,0.5303030303030303,2.017564380181335,0.9718925174256894
20,300,8,True,0.6336872586872587,27.869379636573594,1.9444416930903203,3.225838445181758,-0.18648395079845873,2.5827480985427163,701,0.5371428571428571,2.079166043500585,0.9824786654364798
20,500,5,True,0.7022200772200772,27.69206732284504,1.8393178395573238,2.921115854307886,-0.19832516441305206,2.4231633212794534,615,0.5211726384364821,2.360497045130922,0.9638741169694556
20,500,5,False,0.7384169884169884,27.15678031552074,1.7517171691701297,2.7798007663331803,-0.2256373394940515,2.1154211360710886,585,0.4897260273972603,2.511155756238126,0.9562252012603893
20,300,5,False,0.6563706563706564,26.99892302571169,1.8051848910454051,2.943106015817129,-0.2087931717347307,2.28143130812771,705,0.5255681818181818,1.998327666182102,0.9664578622126363
20,700,10,True,0.7263513513513513,26.86680213677966,1.7746896301525212,2.7205095599570774,-0.21253547963688624,2.2374198463452357,539,0.516728624535316,2.4498563816821775,0.9623636517317468
20,500,10,False,0.7456563706563707,26.536163440625895,1.7472124124917279,2.783977881076966,-0.2230327177779292,2.1228880851141856,561,0.4928571428571429,2.483631105658218,0.9697640831885925
20,500,8,False,0.7427606177606177,26.294059242413546,1.7320564466450066,2.745569749549376,-0.22414038270362144,2.105613319582503,565,0.48226950354609927,2.5718127305499547,0.9651018910494003
25,500,5,False,0.9609073359073359,25.093857969618004,1.5829330433171573,2.1575250499691823,-0.22043821421536275,2.105962349580735,399,0.5326633165829145,2.2551111983962584,0.9814996640524198
20,300,10,True,0.6351351351351351,25.035506059727854,1.8801201998351607,3.1090841823016424,-0.20169019745740566,2.299821177392312,691,0.5420289855072464,2.0060601976435075,0.9819928477976199
20,500,8,True,0.7055984555984556,24.42443755591895,1.765655370612208,2.8047139380754413,-0.20369730279532694,2.2572332777758777,597,0.5100671140939598,2.3892752468171747,0.9713515182501277
20,500,10,True,0.7075289575289575,22.09577757989855,1.7099521239602449,2.70525753834446,-0.20369730279532702,2.1771989190777346,591,0.511864406779661,2.3269111876296833,0.9691302450503009
25,500,8,False,0.9522200772200772,21.698299109485802,1.5010725028191159,2.0458087659087894,-0.2204382142153627,1.9985774665837441,393,0.5204081632653061,2.3171968363724185,0.9801085729068395
25,500,10,False,0.9464285714285714,20.589207852840236,1.4695072386658397,2.0031042921160123,-0.22043821421536253,1.9604146022568572,391,0.5128205128205128,2.3369125786075493,0.9777224138608092
25,500,5,True,0.903957528957529,19.736869157375512,1.5135708267408265,2.052295129277141,-0.20593198657632744,2.065836325849155,443,0.5248868778280543,2.2118516953597136,0.9832562789243394
25,500,10,True,0.8894787644787645,19.347475834002505,1.5026068140256446,2.037357528513495,-0.20593198657632714,2.0505129829270987,433,0.5277777777777778,2.1954052601468637,0.9789952868138664
25,500,8,True,0.8943050193050193,18.423644464458796,1.4748869159874287,1.9980728770831775,-0.2059319865763271,2.01309581138408,435,0.5299539170506913,2.162936931048106,0.9781946822543056
25,700,5,True,0.8822393822393823,12.880123333282336,1.232517958466801,1.5727756542322842,-0.20764100305442942,1.734076056265233,429,0.514018691588785,2.123148767929289,0.9828778465566714
25,700,10,True,0.8682432432432432,12.492704059064254,1.2168194035994926,1.553074584590575,-0.20764100305442895,1.7124334934619403,419,0.5167464114832536,2.1039460939064623,0.9789041161781098
25,700,8,True,0.8730694980694981,11.880098182471775,1.1910144722882476,1.5189863925354001,-0.207641003054429,1.6770644631594678,421,0.5190476190476191,2.070715939016866,0.9786285007760868
25,700,5,False,0.930019305019305,11.063431955734709,1.0799094324691523,1.3777856300587092,-0.24740535651600265,1.3659432023046556,349,0.5229885057471264,2.0645860093342963,0.9743983835279637
25,700,8,False,0.9218146718146718,9.395950795275626,1.003108899237907,1.280185057512424,-0.24740535651600218,1.2727015700638125,343,0.5087719298245614,2.126435411842955,0.9720741804182291
25,700,10,False,0.916988416988417,8.941128033283647,0.9788173061069009,1.2482888967444563,-0.24740535651600262,1.2449775917965384,343,0.5029239766081871,2.134438206855816,0.9704874573899763
